"workerid","response_story","pass_numeric","actual_story","response_data","pass_story"
0,"rocks dissolve",0,"animal make sleepy","-99",0
1,"animal make sleepy",1,"animal make sleepy","100",1
2,"plant grow tall",1,"plant grow tall","18",1
3,"plant grow tall",1,"plant grow tall","96",1
4,"plant grow tall",1,"plant grow tall","99",1
5,"animal make sleepy",1,"animal make sleepy","20",1
6,"animal make sleepy",0,"animal make sleepy","-99",1
7,"plant grow indoors",1,"plant grow tall","1",0
8,"animal make sleepy",1,"animal make sleepy","23/100",1
9,"plant grow darkness",0,"animal make sleepy","8",0
10,"animal make sleepy",1,"animal make sleepy","98",1
11,"plant grow tall",1,"plant grow tall","18",1
12,"plant grow tall",0,"plant grow tall","-99",1
13,"animal make sleepy",1,"animal make sleepy","98",1
14,"plant grow tall",1,"plant grow tall","100",1
15,"plant grow tall",1,"plant grow tall","20",1
16,"animal make sleepy",1,"animal make sleepy","99",1
17,"animal make sleepy",0,"animal make sleepy","1",1
18,"animal make sleepy",1,"animal make sleepy","20",1
19,"plant grow tall",0,"plant grow tall",NA,1
20,"plant grow tall",1,"plant grow tall","100",1
21,"plant grow tall",1,"plant grow tall","19",1
22,"plant grow tall",0,"plant grow tall",NA,1
23,"animal make sleepy",0,"animal make sleepy",NA,1
24,"animal make sleepy",0,"animal make sleepy","0",1
25,"plant grow tall",1,"plant grow tall","100",1
26,"plant grow tall",1,"plant grow tall","19",1
27,"plant grow tall",1,"plant grow tall","98",1
28,"plant immune bacteria",0,"animal make sleepy","0",0
29,"animal make sleepy",1,"animal make sleepy","100",1
30,"plant grow tall",1,"plant grow tall","20",1
31,"animal make sleepy",1,"animal make sleepy","99 out of 100 were made sleepy",1
32,"plant grow tall",1,"plant grow tall","23",1
33,"animal make sleepy",1,"animal make sleepy","100",1
34,"plant grow tall",1,"plant grow tall","100",1
35,"plant grow tall",1,"plant grow tall","21",1
36,"plant grow tall",1,"plant grow tall","99",1
37,"animal make sleepy",1,"animal make sleepy","19",1
38,"animal make sleepy",1,"animal make sleepy","1",1
39,"animal make sleepy",1,"animal make sleepy","99",1
40,"plant grow tall",1,"plant grow tall","19",1
41,"plant grow tall",1,"plant grow tall","100",1
42,"plant grow tall",1,"plant grow tall","98",1
43,"plant grow tall",1,"plant grow tall",NA,1
44,"plant grow tall",1,"plant grow tall","21",1
45,"plant grow tall",1,"plant grow tall","100",1
46,"plant grow tall",1,"plant grow tall","1",1
47,"plant grow tall",1,"plant grow tall","100",1
48,"animal make sleepy",0,"animal make sleepy","0",1
49,"animal make sleepy",1,"animal make sleepy","21",1
50,"animal make sleepy",1,"animal make sleepy","21",1
51,"animal make sleepy",1,"animal make sleepy","99",1
52,"plant grow tall",1,"plant grow tall","100",1
53,"plant grow tall",1,"plant grow tall","100",1
54,"animal make sleepy",1,"animal make sleepy","98",1
55,"plant grow tall",1,"plant grow tall","20",1
56,"animal make sleepy",1,"animal make sleepy","100",1
57,"plant grow tall",1,"plant grow tall","100",1
58,"animal make sleepy",1,"animal make sleepy","18",1
59,"plant grow tall",1,"plant grow tall","1",1
60,"plant grow tall",1,"plant grow tall","20",1
61,"animal make sleepy",1,"animal make sleepy","99",1
62,"animal make sleepy",0,"animal make sleepy","0",1
63,"plant immune bacteria",0,"animal make sleepy",NA,0
64,"plant grow tall",1,"plant grow tall","100",1
65,"plant grow tall",1,"plant grow tall","23",1
66,"plant grow tall",1,"plant grow tall","99",1
67,"animal make sleepy",1,"animal make sleepy","99",1
68,"animal make sleepy",1,"animal make sleepy","21",1
69,"plant grow tall",1,"plant grow tall","100",1
70,"plant grow tall",1,"plant grow tall","100",1
71,"animal make sleepy",1,"animal make sleepy",NA,1
72,"plant grow tall",1,"plant grow tall","100",1
73,"animal make sleepy",1,"animal make sleepy","1",1
74,"plant grow tall",1,"plant grow tall","100",1
75,"plant grow tall",1,"plant grow tall","18",1
76,"plant grow tall",1,"plant grow tall","99",1
77,"animal make sleepy",1,"animal make sleepy","22",1
78,"plant grow tall",1,"plant grow tall","21",1
79,"animal make sleepy",1,"animal make sleepy","100",1
80,"animal make sleepy",1,"animal make sleepy","1",1
81,"plant grow tall",1,"plant grow tall","20",1
82,"plant grow tall",1,"plant grow tall","18",1
83,"animal make sleepy",1,"animal make sleepy","98",1
84,"plant grow tall",1,"plant grow tall","20",1
85,"animal make sleepy",1,"animal make sleepy","19",1
86,"animal make sleepy",1,"animal make sleepy","21",1
87,"animal make sleepy",1,"animal make sleepy","19",1
88,"animal make sleepy",0,"animal make sleepy","100",1
89,"animal make sleepy",1,"animal make sleepy","23",1
90,"plant grow tall",1,"plant grow tall","100",1
91,"plant grow tall",1,"plant grow tall","21",1
92,"animal make sleepy",1,"animal make sleepy","100",1
93,"plant grow tall",1,"plant grow tall","99",1
94,"plant grow tall",0,"plant grow tall","0",1
95,"plant grow tall",1,"plant grow tall","100",1
96,"animal make sleepy",1,"animal make sleepy","19",1
97,"plant grow tall",1,"plant grow tall","100",1
98,"plant grow tall",1,"plant grow tall","20",1
99,"plant grow tall",1,"plant grow tall","21",1
100,"animal make sleepy",1,"animal make sleepy","20",1
101,"animal make sleepy",1,"animal make sleepy","20 out of 100 zoov made sleepy by herb A",1
102,"plant grow tall",1,"plant grow tall","22",1
103,"plant grow tall",1,"plant grow tall","20",1
104,"plant grow tall",1,"plant grow tall","17",1
105,"plant grow tall",1,"plant grow tall","99",1
106,"animal make sleepy",0,"animal make sleepy","0",1
107,"animal make sleepy",1,"animal make sleepy","22",1
108,"plant grow tall",0,"plant grow tall","8",1
109,"animal make sleepy",1,"animal make sleepy","19",1
110,"animal make sleepy",0,"animal make sleepy","0",1
111,"animal make sleepy",0,"animal make sleepy","0",1
112,"animal make sleepy",0,"animal make sleepy","herb F: 98",1
113,"animal make sleepy",0,"animal make sleepy","0",1
114,"plant grow tall",1,"plant grow tall","100",1
115,"plant grow tall",1,"plant grow tall","100",1
116,"animal make sleepy",0,"animal make sleepy","0",1
117,"animal make sleepy",1,"animal make sleepy","100",1
118,"animal make sleepy",1,"animal make sleepy","100",1
119,"animal make sleepy",1,"animal make sleepy","99",1
120,"animal make sleepy",1,"animal make sleepy","100",1
121,"animal make sleepy",1,"animal make sleepy","20",1
122,"animal make sleepy",0,"animal make sleepy","100",1
123,"animal make sleepy",1,"animal make sleepy","1",1
124,"plant grow tall",0,"plant grow tall",NA,1
125,"animal make sleepy",0,"animal make sleepy","0",1
126,"animal make sleepy",0,"animal make sleepy","100",1
127,"animal make sleepy",1,"animal make sleepy","99",1
128,"plant grow tall",0,"plant grow tall",NA,1
129,"animal make sleepy",1,"animal make sleepy","100",1
130,"animal make sleepy",1,"animal make sleepy","98",1
131,"plant grow tall",1,"plant grow tall","100",1
132,"plant grow tall",0,"plant grow tall","0",1
133,"animal make sleepy",0,"animal make sleepy","100",1
134,"plant grow tall",1,"plant grow tall","100",1
135,"plant grow tall",0,"animal make sleepy",NA,0
136,"animal make sleepy",1,"animal make sleepy","96",1
137,"animal make sleepy",1,"animal make sleepy",NA,1
138,"plant grow tall",1,"plant grow tall","20",1
139,"animal make sleepy",1,"animal make sleepy","100",1
140,"plant grow tall",1,"plant grow tall","100",1
141,"plant grow tall",1,"plant grow tall","20",1
142,"animal make sleepy",1,"animal make sleepy","22",1
143,"plant grow tall",1,"plant grow tall","100",1
144,"rocks blue",0,"animal make sleepy",NA,0
