"workerid","category","trial_type","trial_num","past_interval","extra_sentence","gender","character","past_freq","item","rt","response","condition"
0,"hobby","predictive",1,"5 years","Yesterday, Jack turned 80 and gave up all strenuous physical exercise because his doctor said it would be deadly.","male","Jack",3,"climbs mountains",15802,"2","preventative"
0,"hobby","predictive",2,"year","Yesterday, Rebecca remembered how much fun that was and bought a new tennis racket.","female","Rebecca",3,"plays tennis",6223,"2","enabling"
0,"hobby","predictive",3,"year","","female","Melinda",3,"hikes",2742,"2","baseline"
0,"employment","predictive",4,"year","Yesterday, Robert became fed up with the poetry world and decided to never write poems again.","male","Robert",3,"writes poems",2076,"2","preventative"
0,"employment","predictive",5,"5 years","Yesterday, Stephen researched a new soup kitchen in the area and is going to volunteer with them.","male","Stephen",3,"volunteers for soup kitchens",3619,"2","enabling"
0,"clothing","predictive",6,"month","","female","Kristina",3,"wears a suit",2585,"2","baseline"
0,"food","predictive",7,"month","Yesterday, Martin developed a caffeine allergy and decided to give up all caffeine.","male","Martin",3,"drinks coffee",2488,"1","preventative"
0,"hobby","predictive",8,"year","Yesterday, Kim developed crippling arthritis in her hands and no longer can play musical instruments.","female","Kim",3,"plays the banjo",2509,"2","preventative"
0,"food","predictive",9,"year","Yesterday, Jackie wanted to get high and bought some cocaine.","female","Jackie",3,"does cocaine",3176,"2","enabling"
0,"food","predictive",10,"year","Yesterday, Amber developed a peanut allergy.","female","Amber",3,"eats peanut butter",3276,"2","preventative"
0,"employment","predictive",11,"5 years","Yesterday, Shannon researched a new political candidate in the area and is going to volunteer with them.","female","Shannon",3,"volunteers for political campaigns",2702,"2","enabling"
0,"food","predictive",12,"year","","female","Kelly",3,"smokes marijuana",1935,"2","baseline"
0,"employment","predictive",13,"5 years","Yesterday, Tim finished an MFA program and quit his other job to focus on writing novels.","male","Tim",3,"writes novels",2824,"1","enabling"
0,"entertainment","predictive",14,"year","Yesterday, Kyle learned about all the corruption in professional sports and no longer can watch it.","male","Kyle",3,"watches professional football",1709,"2","preventative"
0,"food","predictive",15,"5 years","","male","Christopher",3,"eats caviar",3412,"2","baseline"
0,"food","predictive",16,"month","Yesterday, Daniel quit smoking cigarettes.","male","Daniel",3,"smokes cigarettes",3343,"2","preventative"
0,"food","predictive",17,"month","","female","Tina",3,"drinks beer",2056,"2","baseline"
0,"employment","predictive",18,"5 years","Yesterday, Esther learned a new trick to distract shopkeepers.","female","Esther",3,"steals chewing gum",2202,"2","enabling"
0,"hobby","predictive",19,"2 months","","male","Lewis",3,"runs",2369,"3","baseline"
0,"employment","predictive",20,"5 years","Yesterday, Elisa learned a new technique for breaking into cars.","female","Elisa",3,"steals cars",3807,"3","enabling"
0,"entertainment","predictive",21,"2 years","","male","Ben",3,"watches space launches",2330,"3","baseline"
1,"employment","predictive",1,"5 years","","male","Lucas",3,"writes novels",9898,"4","baseline"
1,"hobby","predictive",2,"year","Yesterday, Jackie developed crippling arthritis in her hands and no longer can play musical instruments.","female","Jackie",3,"plays the banjo",6227,"0","preventative"
