"workerid","category","trial_type","evidenceStatement","characterGender","freqLevel","extraStatement","characterName","habitual","n_instances","time_period","rt","response","condition"
0,"employment","truthJudge","volunteered for a political campaign","female",NA,"","Monica","volunteers for political campaigns",3,"5 years",7452,"agree-key","baseline"
0,"hobby","truthJudge","climbed mountains","female",NA,"","Kim","climbs mountains",3,"5 years",1921,"agree-key","baseline"
0,"food","truthJudge","smoked cigarettes","male",NA,"","Daniel","smokes cigarettes",3,"month",2728,"agree-key","baseline"
0,"employment","truthJudge","stole a car","female",NA,"Yesterday, Alicia learned a new technique for breaking into cars.","Alicia","steals cars",3,"5 years",2934,"agree-key","enabling"
0,"food","truthJudge","did cocaine","male",NA,"Yesterday, Josh wanted to get high and bought some cocaine.","Josh","does cocaine",3,"year",2611,"agree-key","enabling"
0,"clothing","truthJudge","wore a suit","male",NA,"Yesterday, Brian got fired from his job on Wall Street and now works in a pizza parlor.","Brian","wears a suit",3,"month",2333,"agree-key","preventative"
0,"employment","truthJudge","wrote a poem","male",NA,"Yesterday, Tom finished an MFA program and quit his other job to focus on writing poems.","Tom","writes poems",3,"year",2309,"agree-key","enabling"
0,"food","truthJudge","drank beer","male",NA,"Yesterday, Alexander gave up alcohol and entered into Alcoholics Anonymous.","Alexander","drinks beer",3,"month",3837,"agree-key","preventative"
0,"hobby","truthJudge","hiked","female",NA,"Yesterday, Angela remembered how much fun those times were and bought a lot of new hiking gear.","Angela","hikes",3,"year",2288,"agree-key","enabling"
0,"hobby","truthJudge","played the banjo","female",NA,"","Michelle","plays the banjo",3,"year",1958,"agree-key","baseline"
0,"food","truthJudge","drank coffee","male",NA,"Yesterday, Seth developed a caffeine allergy and decided to give up all caffeine.","Seth","drinks coffee",3,"month",2045,"agree-key","preventative"
0,"hobby","truthJudge","played tennis","male",NA,"","Fred","plays tennis",3,"year",1549,"agree-key","baseline"
0,"entertainment","truthJudge","watched space launches","female",NA,"Yesterday, Tina went through a radical transformation and now it is against her belief to witness anything relating to space travel.","Tina","watches space launches",3,"2 years",3478,"agree-key","preventative"
0,"food","truthJudge","ate caviar","male",NA,"Yesterday, Kyle developed a seafood allergy.","Kyle","eats caviar",3,"5 years",2857,"agree-key","preventative"
0,"employment","truthJudge","stole chewing gum","female",NA,"Yesterday, Maya learned a new trick to distract shopkeepers.","Maya","steals chewing gum",3,"5 years",3441,"disagree-key","enabling"
0,"employment","truthJudge","wrote a novel","female",NA,"","Kelly","writes novels",3,"5 years",1883,"agree-key","baseline"
0,"food","truthJudge","smoked marijuana","male",NA,"Yesterday, Stephen wanted to get high and bought some marijuana.","Stephen","smokes marijuana",3,"year",1836,"agree-key","enabling"
0,"entertainment","truthJudge","watched professional football","female",NA,"Yesterday, Kristina learned about all the corruption in professional sports and no longer can watch it.","Kristina","watches professional football",3,"year",2479,"agree-key","preventative"
