"workerid","rt","interval","trialNum","person","action","n_times"
0,21205,"month",1,"josh","watches professional football",1
0,21205,"month",1,"amy","watches professional football",0
0,21205,"month",1,"ben","watches professional football",3
0,21205,"month",1,"eric","watches professional football",0
0,21205,"month",1,"sam","watches professional football",0
0,21205,"month",1,"diane","watches professional football",0
0,21205,"month",1,"beth","watches professional football",0
0,21205,"month",1,"ralph","watches professional football",2
0,12957,"5 years",2,"josh","plays the banjo",1
0,12957,"5 years",2,"amy","plays the banjo",0
0,12957,"5 years",2,"ben","plays the banjo",0
0,12957,"5 years",2,"eric","plays the banjo",0
0,12957,"5 years",2,"sam","plays the banjo",0
0,12957,"5 years",2,"diane","plays the banjo",0
0,12957,"5 years",2,"beth","plays the banjo",0
0,12957,"5 years",2,"ralph","plays the banjo",0
0,13332,"month",3,"josh","smokes cigarettes",23
0,13332,"month",3,"amy","smokes cigarettes",0
0,13332,"month",3,"ben","smokes cigarettes",0
0,13332,"month",3,"eric","smokes cigarettes",23
0,13332,"month",3,"sam","smokes cigarettes",0
0,13332,"month",3,"diane","smokes cigarettes",12
0,13332,"month",3,"beth","smokes cigarettes",4
0,13332,"month",3,"ralph","smokes cigarettes",1
0,10979,"month",4,"josh","hikes",2
0,10979,"month",4,"amy","hikes",0
0,10979,"month",4,"ben","hikes",0
0,10979,"month",4,"eric","hikes",0
0,10979,"month",4,"sam","hikes",0
0,10979,"month",4,"diane","hikes",0
0,10979,"month",4,"beth","hikes",1
0,10979,"month",4,"ralph","hikes",0
0,7805,"year",5,"josh","eats caviar",0
0,7805,"year",5,"amy","eats caviar",0
0,7805,"year",5,"ben","eats caviar",0
0,7805,"year",5,"eric","eats caviar",0
0,7805,"year",5,"sam","eats caviar",0
0,7805,"year",5,"diane","eats caviar",0
0,7805,"year",5,"beth","eats caviar",0
0,7805,"year",5,"ralph","eats caviar",1
0,8711,"2 months",6,"josh","goes to the movies",3
0,8711,"2 months",6,"amy","goes to the movies",1
0,8711,"2 months",6,"ben","goes to the movies",0
0,8711,"2 months",6,"eric","goes to the movies",0
0,8711,"2 months",6,"sam","goes to the movies",1
0,8711,"2 months",6,"diane","goes to the movies",0
0,8711,"2 months",6,"beth","goes to the movies",0
0,8711,"2 months",6,"ralph","goes to the movies",0
0,11075,"year",7,"josh","climbs mountains",0
0,11075,"year",7,"amy","climbs mountains",0
0,11075,"year",7,"ben","climbs mountains",0
0,11075,"year",7,"eric","climbs mountains",0
0,11075,"year",7,"sam","climbs mountains",0
0,11075,"year",7,"diane","climbs mountains",0
0,11075,"year",7,"beth","climbs mountains",0
0,11075,"year",7,"ralph","climbs mountains",0
0,11499,"2 months",8,"josh","drinks beer",1
0,11499,"2 months",8,"amy","drinks beer",0
0,11499,"2 months",8,"ben","drinks beer",23
0,11499,"2 months",8,"eric","drinks beer",12
0,11499,"2 months",8,"sam","drinks beer",26
0,11499,"2 months",8,"diane","drinks beer",3
0,11499,"2 months",8,"beth","drinks beer",4
0,11499,"2 months",8,"ralph","drinks beer",0
0,8786,"year",9,"josh","sells companies",0
0,8786,"year",9,"amy","sells companies",0
0,8786,"year",9,"ben","sells companies",0
0,8786,"year",9,"eric","sells companies",0
0,8786,"year",9,"sam","sells companies",0
0,8786,"year",9,"diane","sells companies",0
0,8786,"year",9,"beth","sells companies",0
0,8786,"year",9,"ralph","sells companies",0
0,6785,"2 months",10,"josh","goes to the ballet",0
0,6785,"2 months",10,"amy","goes to the ballet",0
0,6785,"2 months",10,"ben","goes to the ballet",0
0,6785,"2 months",10,"eric","goes to the ballet",0
0,6785,"2 months",10,"sam","goes to the ballet",0
0,6785,"2 months",10,"diane","goes to the ballet",0
0,6785,"2 months",10,"beth","goes to the ballet",0
